question|answer
Can you tell me what is the return window for electronics?|Electronics can be returned within 5 days of delivery in original condition with all accessories and packaging.
Could you tell me what is the return window for electronics?|Electronics can be returned within 5 days of delivery in original condition with all accessories and packaging.
Please tell me what is the return window for electronics?|Electronics can be returned within 5 days of delivery in original condition with all accessories and packaging.
I want to know what is the return window for electronics?|Electronics can be returned within 5 days of delivery in original condition with all accessories and packaging.
How long does the refund take to appear in my account?|Refunds are credited back to your original payment method within 5 to 10 business days after approval.
Can you tell me how long does the refund take to appear in my account?|Refunds are credited back to your original payment method within 5 to 10 business days after approval.
Could you tell me how long does the refund take to appear in my account?|Refunds are credited back to your original payment method within 5 to 10 business days after approval.
Please tell me how long does the refund take to appear in my account?|Refunds are credited back to your original payment method within 5 to 10 business days after approval.
I want to know how long does the refund take to appear in my account?|Refunds are credited back to your original payment method within 5 to 10 business days after approval.
Can I return a product after 7 days?|Returns after 7 days are generally not accepted unless the product has a manufacturing defect covered under warranty.
Can you tell me can i return a product after 7 days?|Returns after 7 days are generally not accepted unless the product has a manufacturing defect covered under warranty.
Could you tell me can i return a product after 7 days?|Returns after 7 days are generally not accepted unless the product has a manufacturing defect covered under warranty.
Please tell me can i return a product after 7 days?|Returns after 7 days are generally not accepted unless the product has a manufacturing defect covered under warranty.
I want to know can i return a product after 7 days?|Returns after 7 days are generally not accepted unless the product has a manufacturing defect covered under warranty.
Do you offer EMI options?|Yes EMI options are available for orders above a minimum value through select credit cards and buy now pay later partners.
Can you tell me do you offer emi options?|Yes EMI options are available for orders above a minimum value through select credit cards and buy now pay later partners.
Could you tell me do you offer emi options?|Yes EMI options are available for orders above a minimum value through select credit cards and buy now pay later partners.
Please tell me do you offer emi options?|Yes EMI options are available for orders above a minimum value through select credit cards and buy now pay later partners.
I want to know do you offer emi options?|Yes EMI options are available for orders above a minimum value through select credit cards and buy now pay later partners.
How do I check my order status?|Log into your account, go to My Orders and click on the order to see its current status.
Can you tell me how do i check my order status?|Log into your account, go to My Orders and click on the order to see its current status.
Could you tell me how do i check my order status?|Log into your account, go to My Orders and click on the order to see its current status.
Please tell me how do i check my order status?|Log into your account, go to My Orders and click on the order to see its current status.
I want to know how do i check my order status?|Log into your account, go to My Orders and click on the order to see its current status.
What should I do if my order is delayed?|If your order is delayed beyond the estimated date, contact our support team with your order ID for assistance.
Can you tell me what should i do if my order is delayed?|If your order is delayed beyond the estimated date, contact our support team with your order ID for assistance.
Could you tell me what should i do if my order is delayed?|If your order is delayed beyond the estimated date, contact our support team with your order ID for assistance.
Please tell me what should i do if my order is delayed?|If your order is delayed beyond the estimated date, contact our support team with your order ID for assistance.
I want to know what should i do if my order is delayed?|If your order is delayed beyond the estimated date, contact our support team with your order ID for assistance.
Can I change the items in my order after placing it?|Order items cannot be changed after placement. You may cancel and place a new order if the original has not been shipped.
Can you tell me can i change the items in my order after placing it?|Order items cannot be changed after placement. You may cancel and place a new order if the original has not been shipped.
Could you tell me can i change the items in my order after placing it?|Order items cannot be changed after placement. You may cancel and place a new order if the original has not been shipped.
Please tell me can i change the items in my order after placing it?|Order items cannot be changed after placement. You may cancel and place a new order if the original has not been shipped.
I want to know can i change the items in my order after placing it?|Order items cannot be changed after placement. You may cancel and place a new order if the original has not been shipped.
Is it safe to save my card details on the platform?|Yes your card details are stored securely using industry-standard encryption and we do not store your CVV.
Can you tell me is it safe to save my card details on the platform?|Yes your card details are stored securely using industry-standard encryption and we do not store your CVV.
Could you tell me is it safe to save my card details on the platform?|Yes your card details are stored securely using industry-standard encryption and we do not store your CVV.
Please tell me is it safe to save my card details on the platform?|Yes your card details are stored securely using industry-standard encryption and we do not store your CVV.
I want to know is it safe to save my card details on the platform?|Yes your card details are stored securely using industry-standard encryption and we do not store your CVV.
How do I delete my account?|To delete your account, contact our support team via email or chat and we will process the request within 7 working days.
Can you tell me how do i delete my account?|To delete your account, contact our support team via email or chat and we will process the request within 7 working days.
Could you tell me how do i delete my account?|To delete your account, contact our support team via email or chat and we will process the request within 7 working days.
Please tell me how do i delete my account?|To delete your account, contact our support team via email or chat and we will process the request within 7 working days.
I want to know how do i delete my account?|To delete your account, contact our support team via email or chat and we will process the request within 7 working days.
What is your warranty policy?|Warranty depends on the product and brand. Electronics typically come with a 1-year manufacturer warranty.
Can you tell me what is your warranty policy?|Warranty depends on the product and brand. Electronics typically come with a 1-year manufacturer warranty.
Could you tell me what is your warranty policy?|Warranty depends on the product and brand. Electronics typically come with a 1-year manufacturer warranty.
Please tell me what is your warranty policy?|Warranty depends on the product and brand. Electronics typically come with a 1-year manufacturer warranty.
I want to know what is your warranty policy?|Warranty depends on the product and brand. Electronics typically come with a 1-year manufacturer warranty.
How do I raise a return request?|Go to My Orders, select the item you want to return, click Return Item and follow the steps to schedule a pickup.
Can you tell me how do i raise a return request?|Go to My Orders, select the item you want to return, click Return Item and follow the steps to schedule a pickup.
Could you tell me how do i raise a return request?|Go to My Orders, select the item you want to return, click Return Item and follow the steps to schedule a pickup.
Please tell me how do i raise a return request?|Go to My Orders, select the item you want to return, click Return Item and follow the steps to schedule a pickup.
I want to know how do i raise a return request?|Go to My Orders, select the item you want to return, click Return Item and follow the steps to schedule a pickup.
Can I return individual items from a bundle?|Individual items from a bundle can only be returned if the entire bundle is defective unless stated otherwise.
Can you tell me can i return individual items from a bundle?|Individual items from a bundle can only be returned if the entire bundle is defective unless stated otherwise.
Could you tell me can i return individual items from a bundle?|Individual items from a bundle can only be returned if the entire bundle is defective unless stated otherwise.
Please tell me can i return individual items from a bundle?|Individual items from a bundle can only be returned if the entire bundle is defective unless stated otherwise.
I want to know can i return individual items from a bundle?|Individual items from a bundle can only be returned if the entire bundle is defective unless stated otherwise.
What happens after I raise a return request?|After raising a return request, a pickup will be scheduled within 2 to 3 business days. Ensure the product is properly packed.
Can you tell me what happens after i raise a return request?|After raising a return request, a pickup will be scheduled within 2 to 3 business days. Ensure the product is properly packed.
Could you tell me what happens after i raise a return request?|After raising a return request, a pickup will be scheduled within 2 to 3 business days. Ensure the product is properly packed.
Please tell me what happens after i raise a return request?|After raising a return request, a pickup will be scheduled within 2 to 3 business days. Ensure the product is properly packed.
I want to know what happens after i raise a return request?|After raising a return request, a pickup will be scheduled within 2 to 3 business days. Ensure the product is properly packed.
Do you ship internationally?|Currently we ship only within the country. International shipping is not available at this time.
Can you tell me do you ship internationally?|Currently we ship only within the country. International shipping is not available at this time.
Could you tell me do you ship internationally?|Currently we ship only within the country. International shipping is not available at this time.
Please tell me do you ship internationally?|Currently we ship only within the country. International shipping is not available at this time.
I want to know do you ship internationally?|Currently we ship only within the country. International shipping is not available at this time.
Are there any hidden charges?|No there are no hidden charges. The price you see at checkout is the final price including taxes.
Can you tell me are there any hidden charges?|No there are no hidden charges. The price you see at checkout is the final price including taxes.
Could you tell me are there any hidden charges?|No there are no hidden charges. The price you see at checkout is the final price including taxes.
Please tell me are there any hidden charges?|No there are no hidden charges. The price you see at checkout is the final price including taxes.
I want to know are there any hidden charges?|No there are no hidden charges. The price you see at checkout is the final price including taxes.
What is your privacy policy?|We do not sell or share your personal data with third parties without your consent. Read our full privacy policy on the website.
Can you tell me what is your privacy policy?|We do not sell or share your personal data with third parties without your consent. Read our full privacy policy on the website.
Could you tell me what is your privacy policy?|We do not sell or share your personal data with third parties without your consent. Read our full privacy policy on the website.
Please tell me what is your privacy policy?|We do not sell or share your personal data with third parties without your consent. Read our full privacy policy on the website.
I want to know what is your privacy policy?|We do not sell or share your personal data with third parties without your consent. Read our full privacy policy on the website.
How do I unsubscribe from promotional emails?|Scroll to the bottom of any marketing email and click Unsubscribe or manage preferences from your account settings.
Can you tell me how do i unsubscribe from promotional emails?|Scroll to the bottom of any marketing email and click Unsubscribe or manage preferences from your account settings.
Could you tell me how do i unsubscribe from promotional emails?|Scroll to the bottom of any marketing email and click Unsubscribe or manage preferences from your account settings.
Please tell me how do i unsubscribe from promotional emails?|Scroll to the bottom of any marketing email and click Unsubscribe or manage preferences from your account settings.
I want to know how do i unsubscribe from promotional emails?|Scroll to the bottom of any marketing email and click Unsubscribe or manage preferences from your account settings.
Can I track my order without logging in?|Yes you can track your order using the tracking number sent to your registered email or mobile number.
Can you tell me can i track my order without logging in?|Yes you can track your order using the tracking number sent to your registered email or mobile number.
Could you tell me can i track my order without logging in?|Yes you can track your order using the tracking number sent to your registered email or mobile number.
Please tell me can i track my order without logging in?|Yes you can track your order using the tracking number sent to your registered email or mobile number.
I want to know can i track my order without logging in?|Yes you can track your order using the tracking number sent to your registered email or mobile number.
What do I do if I receive the wrong product?|If you receive the wrong product, report it within 48 hours via the Help section and we will arrange a free replacement.
Can you tell me what do i do if i receive the wrong product?|If you receive the wrong product, report it within 48 hours via the Help section and we will arrange a free replacement.
Could you tell me what do i do if i receive the wrong product?|If you receive the wrong product, report it within 48 hours via the Help section and we will arrange a free replacement.
Please tell me what do i do if i receive the wrong product?|If you receive the wrong product, report it within 48 hours via the Help section and we will arrange a free replacement.
I want to know what do i do if i receive the wrong product?|If you receive the wrong product, report it within 48 hours via the Help section and we will arrange a free replacement.
How do I write a product review?|Go to the product page, scroll to the Reviews section and click Write a Review after verifying your purchase.
Can you tell me how do i write a product review?|Go to the product page, scroll to the Reviews section and click Write a Review after verifying your purchase.
Could you tell me how do i write a product review?|Go to the product page, scroll to the Reviews section and click Write a Review after verifying your purchase.
Please tell me how do i write a product review?|Go to the product page, scroll to the Reviews section and click Write a Review after verifying your purchase.
I want to know how do i write a product review?|Go to the product page, scroll to the Reviews section and click Write a Review after verifying your purchase.
Can I buy a product that is out of stock?|You can click Notify Me on the product page to get an alert when the product is back in stock.
Can you tell me can i buy a product that is out of stock?|You can click Notify Me on the product page to get an alert when the product is back in stock.
Could you tell me can i buy a product that is out of stock?|You can click Notify Me on the product page to get an alert when the product is back in stock.
Please tell me can i buy a product that is out of stock?|You can click Notify Me on the product page to get an alert when the product is back in stock.
I want to know can i buy a product that is out of stock?|You can click Notify Me on the product page to get an alert when the product is back in stock.
What is a wishlist?|A wishlist lets you save products you are interested in buying later. You can add items to your wishlist using the heart icon.
Can you tell me what is a wishlist?|A wishlist lets you save products you are interested in buying later. You can add items to your wishlist using the heart icon.
Could you tell me what is a wishlist?|A wishlist lets you save products you are interested in buying later. You can add items to your wishlist using the heart icon.
Please tell me what is a wishlist?|A wishlist lets you save products you are interested in buying later. You can add items to your wishlist using the heart icon.
I want to know what is a wishlist?|A wishlist lets you save products you are interested in buying later. You can add items to your wishlist using the heart icon.
How do I apply for a refund?|Go to My Orders, select the item, click Request Refund and fill in the reason. Our team will process it within 5 to 7 business days.
Can you tell me how do i apply for a refund?|Go to My Orders, select the item, click Request Refund and fill in the reason. Our team will process it within 5 to 7 business days.
Could you tell me how do i apply for a refund?|Go to My Orders, select the item, click Request Refund and fill in the reason. Our team will process it within 5 to 7 business days.
Please tell me how do i apply for a refund?|Go to My Orders, select the item, click Request Refund and fill in the reason. Our team will process it within 5 to 7 business days.
I want to know how do i apply for a refund?|Go to My Orders, select the item, click Request Refund and fill in the reason. Our team will process it within 5 to 7 business days.
Do you have a loyalty program?|Yes we have a rewards program where you earn points on every purchase that can be redeemed for discounts on future orders.
Can you tell me do you have a loyalty program?|Yes we have a rewards program where you earn points on every purchase that can be redeemed for discounts on future orders.
Could you tell me do you have a loyalty program?|Yes we have a rewards program where you earn points on every purchase that can be redeemed for discounts on future orders.
Please tell me do you have a loyalty program?|Yes we have a rewards program where you earn points on every purchase that can be redeemed for discounts on future orders.
I want to know do you have a loyalty program?|Yes we have a rewards program where you earn points on every purchase that can be redeemed for discounts on future orders.
What is the difference between cancellation and return?|Cancellation is done before the order is shipped. Return is done after you receive the product.
Can you tell me what is the difference between cancellation and return?|Cancellation is done before the order is shipped. Return is done after you receive the product.
Could you tell me what is the difference between cancellation and return?|Cancellation is done before the order is shipped. Return is done after you receive the product.
Please tell me what is the difference between cancellation and return?|Cancellation is done before the order is shipped. Return is done after you receive the product.
I want to know what is the difference between cancellation and return?|Cancellation is done before the order is shipped. Return is done after you receive the product.
Can I use multiple coupon codes on one order?|Only one coupon code can be applied per order unless stated otherwise during a special sale event.
Can you tell me can i use multiple coupon codes on one order?|Only one coupon code can be applied per order unless stated otherwise during a special sale event.
Could you tell me can i use multiple coupon codes on one order?|Only one coupon code can be applied per order unless stated otherwise during a special sale event.
Please tell me can i use multiple coupon codes on one order?|Only one coupon code can be applied per order unless stated otherwise during a special sale event.
I want to know can i use multiple coupon codes on one order?|Only one coupon code can be applied per order unless stated otherwise during a special sale event.
What items are non-returnable?|Items like perishables, underwear, personalized products, and digital goods are non-returnable for hygiene and safety reasons.
Can you tell me what items are non-returnable?|Items like perishables, underwear, personalized products, and digital goods are non-returnable for hygiene and safety reasons.
Could you tell me what items are non-returnable?|Items like perishables, underwear, personalized products, and digital goods are non-returnable for hygiene and safety reasons.
Please tell me what items are non-returnable?|Items like perishables, underwear, personalized products, and digital goods are non-returnable for hygiene and safety reasons.
I want to know what items are non-returnable?|Items like perishables, underwear, personalized products, and digital goods are non-returnable for hygiene and safety reasons.
How do I know if a seller is genuine?|All sellers on our platform go through a verification process. Look for the Verified Seller badge on product listings.
Can you tell me how do i know if a seller is genuine?|All sellers on our platform go through a verification process. Look for the Verified Seller badge on product listings.
Could you tell me how do i know if a seller is genuine?|All sellers on our platform go through a verification process. Look for the Verified Seller badge on product listings.
Please tell me how do i know if a seller is genuine?|All sellers on our platform go through a verification process. Look for the Verified Seller badge on product listings.
I want to know how do i know if a seller is genuine?|All sellers on our platform go through a verification process. Look for the Verified Seller badge on product listings.
Can I sell my products on your platform?|Yes you can register as a seller by visiting our Seller Center and completing the onboarding process.
Can you tell me can i sell my products on your platform?|Yes you can register as a seller by visiting our Seller Center and completing the onboarding process.
Could you tell me can i sell my products on your platform?|Yes you can register as a seller by visiting our Seller Center and completing the onboarding process.
Please tell me can i sell my products on your platform?|Yes you can register as a seller by visiting our Seller Center and completing the onboarding process.
I want to know can i sell my products on your platform?|Yes you can register as a seller by visiting our Seller Center and completing the onboarding process.
How do I report a fake product?|If you suspect a product is counterfeit, report it through the Report Abuse option on the product listing page.
Can you tell me how do i report a fake product?|If you suspect a product is counterfeit, report it through the Report Abuse option on the product listing page.
Could you tell me how do i report a fake product?|If you suspect a product is counterfeit, report it through the Report Abuse option on the product listing page.
Please tell me how do i report a fake product?|If you suspect a product is counterfeit, report it through the Report Abuse option on the product listing page.
I want to know how do i report a fake product?|If you suspect a product is counterfeit, report it through the Report Abuse option on the product listing page.
What is a flash sale?|A flash sale is a limited-time offer with deep discounts available for a short window. Check our homepage for upcoming sales.
Can you tell me what is a flash sale?|A flash sale is a limited-time offer with deep discounts available for a short window. Check our homepage for upcoming sales.
Could you tell me what is a flash sale?|A flash sale is a limited-time offer with deep discounts available for a short window. Check our homepage for upcoming sales.
Please tell me what is a flash sale?|A flash sale is a limited-time offer with deep discounts available for a short window. Check our homepage for upcoming sales.
I want to know what is a flash sale?|A flash sale is a limited-time offer with deep discounts available for a short window. Check our homepage for upcoming sales.
How do I set up address book entries?|Go to My Account then Addresses and click Add New Address to save multiple delivery locations.
Can you tell me how do i set up address book entries?|Go to My Account then Addresses and click Add New Address to save multiple delivery locations.
Could you tell me how do i set up address book entries?|Go to My Account then Addresses and click Add New Address to save multiple delivery locations.
Please tell me how do i set up address book entries?|Go to My Account then Addresses and click Add New Address to save multiple delivery locations.
I want to know how do i set up address book entries?|Go to My Account then Addresses and click Add New Address to save multiple delivery locations.
Can I schedule a delivery time?|Currently we do not offer scheduled delivery slots but we notify you with the estimated delivery window.
Can you tell me can i schedule a delivery time?|Currently we do not offer scheduled delivery slots but we notify you with the estimated delivery window.
Could you tell me can i schedule a delivery time?|Currently we do not offer scheduled delivery slots but we notify you with the estimated delivery window.
Please tell me can i schedule a delivery time?|Currently we do not offer scheduled delivery slots but we notify you with the estimated delivery window.
I want to know can i schedule a delivery time?|Currently we do not offer scheduled delivery slots but we notify you with the estimated delivery window.
What should I do if payment fails during checkout?|If payment fails, wait a few minutes and try again. If the amount was deducted, it will be automatically refunded within 5 to 7 business days.
Can you tell me what should i do if payment fails during checkout?|If payment fails, wait a few minutes and try again. If the amount was deducted, it will be automatically refunded within 5 to 7 business days.
Could you tell me what should i do if payment fails during checkout?|If payment fails, wait a few minutes and try again. If the amount was deducted, it will be automatically refunded within 5 to 7 business days.
Please tell me what should i do if payment fails during checkout?|If payment fails, wait a few minutes and try again. If the amount was deducted, it will be automatically refunded within 5 to 7 business days.
I want to know what should i do if payment fails during checkout?|If payment fails, wait a few minutes and try again. If the amount was deducted, it will be automatically refunded within 5 to 7 business days.
Is there a way to see my past orders?|Yes go to My Account then My Orders to see your complete order history with dates and statuses.
Can you tell me is there a way to see my past orders?|Yes go to My Account then My Orders to see your complete order history with dates and statuses.
Could you tell me is there a way to see my past orders?|Yes go to My Account then My Orders to see your complete order history with dates and statuses.
Please tell me is there a way to see my past orders?|Yes go to My Account then My Orders to see your complete order history with dates and statuses.
I want to know is there a way to see my past orders?|Yes go to My Account then My Orders to see your complete order history with dates and statuses.
How do I change my registered email address?|To change your email address, go to My Account then Profile Settings and update your email. A verification link will be sent.
Can you tell me how do i change my registered email address?|To change your email address, go to My Account then Profile Settings and update your email. A verification link will be sent.
Could you tell me how do i change my registered email address?|To change your email address, go to My Account then Profile Settings and update your email. A verification link will be sent.
Please tell me how do i change my registered email address?|To change your email address, go to My Account then Profile Settings and update your email. A verification link will be sent.
I want to know how do i change my registered email address?|To change your email address, go to My Account then Profile Settings and update your email. A verification link will be sent.
Can I use two payment methods for one order?|Currently splitting payment across two methods is not supported except in cases where wallet balance is applied partially.
Can you tell me can i use two payment methods for one order?|Currently splitting payment across two methods is not supported except in cases where wallet balance is applied partially.
Could you tell me can i use two payment methods for one order?|Currently splitting payment across two methods is not supported except in cases where wallet balance is applied partially.
Please tell me can i use two payment methods for one order?|Currently splitting payment across two methods is not supported except in cases where wallet balance is applied partially.
I want to know can i use two payment methods for one order?|Currently splitting payment across two methods is not supported except in cases where wallet balance is applied partially.
What happens to my reward points if I return an order?|Reward points earned from a returned order will be deducted from your balance upon successful return processing.
Can you tell me what happens to my reward points if i return an order?|Reward points earned from a returned order will be deducted from your balance upon successful return processing.
Could you tell me what happens to my reward points if i return an order?|Reward points earned from a returned order will be deducted from your balance upon successful return processing.
Please tell me what happens to my reward points if i return an order?|Reward points earned from a returned order will be deducted from your balance upon successful return processing.
I want to know what happens to my reward points if i return an order?|Reward points earned from a returned order will be deducted from your balance upon successful return processing.
How long does pickup take after a return request?|Pickup is usually scheduled within 2 to 3 business days after your return request is approved.
Can you tell me how long does pickup take after a return request?|Pickup is usually scheduled within 2 to 3 business days after your return request is approved.
Could you tell me how long does pickup take after a return request?|Pickup is usually scheduled within 2 to 3 business days after your return request is approved.
Please tell me how long does pickup take after a return request?|Pickup is usually scheduled within 2 to 3 business days after your return request is approved.
I want to know how long does pickup take after a return request?|Pickup is usually scheduled within 2 to 3 business days after your return request is approved.
What packaging should I use for returns?|Use the original packaging if possible. If not, use a sturdy box with adequate cushioning to prevent damage during transit.
Can you tell me what packaging should i use for returns?|Use the original packaging if possible. If not, use a sturdy box with adequate cushioning to prevent damage during transit.
Could you tell me what packaging should i use for returns?|Use the original packaging if possible. If not, use a sturdy box with adequate cushioning to prevent damage during transit.
Please tell me what packaging should i use for returns?|Use the original packaging if possible. If not, use a sturdy box with adequate cushioning to prevent damage during transit.
I want to know what packaging should i use for returns?|Use the original packaging if possible. If not, use a sturdy box with adequate cushioning to prevent damage during transit.
Are there delivery charges for returns?|No pickup charges are applied for returns in most cases. Check the return policy for specific product categories.
Can you tell me are there delivery charges for returns?|No pickup charges are applied for returns in most cases. Check the return policy for specific product categories.
